proudy-1: min;proudy-1: max;proudy-2: min;proudy-2: max;proudy-3: min;proudy-3: max;proudy-4: min;proudy-4: max;napeti-1: min;napeti-1: max;napeti-2: min;napeti-2: max;napeti-3: min;napeti-3: max;napeti-4: min;napeti-4: max;oscilace-1: min;oscilace-1: max;oscilace-2: min;oscilace-2: max;oscilace-3: min;oscilace-3: max;oscilace-4: min;oscilace-4: max;oscilace-5: min;oscilace-5: max;oscilace-6: min;oscilace-6: max;oscilace-7: min;oscilace-7: max;oscilace-8: min;oscilace-8: max;oscilace-9: min;oscilace-9: max;oscilace-10: min;oscilace-10: max;oscilace-11: min;oscilace-11: max;oscilace-12: min;oscilace-12: max;oscilace-13: min;oscilace-13: max;oscilace-14: min;oscilace-14: max;oscilace-15: min;oscilace-15: max;oscilace-16: min;oscilace-16: max;filepath
-1.8183756;-0.8551605;12.468189;26.075146;-1.8191197;-0.851074;12.466923;26.070229;-4.3785872;-1.4179848;5.102145;9.839722;-5.286972;-1.5603324;5.0129466;9.807682;0.030396357;0.8357897;0.16545264;0.72489476;-1.7581865;-0.35172638;-0.18811081;1.1802545;-0.24229933;-0.03665132;-0.16331173;-0.02465358;0.077402584;0.42034465;-0.3742427;-0.038184457;-0.15195552;0.0070155757;-0.11886592;0.0013120876;-0.6609157;0.25017387;-0.29539996;0.42915815;0.004028117;0.06408203;-0.008290197;0.041031886;-0.0014820934;0.12327357;-0.053503275;0.076072246;.\data\AI_InputData\Measurement_HS_Procesed\FaultSubSys1\GrabbedData_Fault_3z_U_RampUp_3_5Nm_12-14-2020_13-02_Em_2.mat
-1.9429644;-0.9485834;13.804147;27.92089;-1.9452972;-0.9430621;13.804966;27.915623;-4.4881673;-1.483141;5.2112412;9.866332;-5.4032173;-1.6266223;5.1439815;9.838403;0.116681196;0.24749492;-1.1123053;-0.1288173;0.05614914;1.7910063;0.25165346;1.1145993;-0.03301466;0.005130932;0.049158968;0.3013858;-0.5416357;-0.07939108;-0.20806105;-0.040420704;-0.07988137;0.045140926;0.021842744;0.17274202;-0.14940822;0.5241786;-0.065953314;0.597859;-0.028468162;0.019880299;-0.0692927;-0.011440187;-0.10172216;0.01535689;-0.110910065;-0.0037471438;.\data\AI_InputData\Measurement_HS_Procesed\FaultSubSys1\GrabbedData_Fault_3z_U_RampUp_4_0Nm_12-14-2020_13-02_Em_0.mat
-1.9429644;-0.9485834;13.804147;27.92089;-1.9452972;-0.9430621;13.804966;27.915623;-4.4881673;-1.483141;5.2112412;9.866332;-5.4032173;-1.6266223;5.1439815;9.838403;-1.0759008;-0.17621243;-0.058576737;0.38552758;-0.42572352;0.52802825;-2.0139828;-0.24200661;0.044705346;0.26920775;-0.1436239;-0.020112693;-0.01473667;0.13286507;0.09092047;0.5589934;0.038649585;0.15812398;-0.0821835;0.040623177;-0.2965542;0.47075748;-0.5685275;0.07813414;-0.055086706;-0.005669676;-0.003227396;0.044729333;-0.0639509;0.0018041274;-0.0038073447;0.1324023;.\data\AI_InputData\Measurement_HS_Procesed\FaultSubSys1\GrabbedData_Fault_3z_U_RampUp_4_0Nm_12-14-2020_13-02_Em_1.mat
-1.9429644;-0.9485834;13.804147;27.92089;-1.9452972;-0.9430621;13.804966;27.915623;-4.4881673;-1.483141;5.2112412;9.866332;-5.4032173;-1.6266223;5.1439815;9.838403;0.045904025;0.854836;0.17429487;0.7518602;-1.7836187;-0.29240656;-0.20762058;1.2576044;-0.25440162;-0.039995916;-0.16515762;-0.02667119;0.078075044;0.43499824;-0.3828198;-0.045716003;-0.14110522;0.007280912;-0.124647066;-0.0002938653;-0.63380337;0.044953097;-0.25388384;0.47308993;0.0055208188;0.0655197;-0.0124797085;0.040481918;0.00060965744;0.13866274;-0.052320834;0.030413091;.\data\AI_InputData\Measurement_HS_Procesed\FaultSubSys1\GrabbedData_Fault_3z_U_RampUp_4_0Nm_12-14-2020_13-02_Em_2.mat
-2.0490916;-1.0711763;15.587863;29.456493;-2.051623;-1.0664043;15.58758;29.457884;-4.5923233;-1.5394137;5.305118;9.928316;-5.522894;-1.6995816;5.234171;9.885735;0.117580585;0.26942766;-1.1321404;-0.14289768;0.05803156;1.890196;0.2449895;1.1088172;-0.033278834;0.008921881;0.053065162;0.30429426;-0.5471767;-0.07588301;-0.21175595;-0.038583893;-0.066731;0.025811559;0.014664171;0.17864743;-0.19663319;0.52533954;-0.10187967;0.55860704;-0.025144262;0.020519992;-0.06970533;-0.012746667;-0.10665714;0.017331129;-0.11762791;0.00032053763;.\data\AI_InputData\Measurement_HS_Procesed\FaultSubSys1\GrabbedData_Fault_3z_U_RampUp_4_5Nm_12-14-2020_13-02_Em_0.mat
-2.0490916;-1.0711763;15.587863;29.456493;-2.051623;-1.0664043;15.58758;29.457884;-4.5923233;-1.5394137;5.305118;9.928316;-5.522894;-1.6995816;5.234171;9.885735;-1.0905329;-0.19166233;-0.0577581;0.39267516;-0.258127;0.4829478;-2.059644;-0.27964705;0.04694595;0.27159828;-0.14235787;-0.022572797;-0.017005274;0.1294176;0.087363884;0.5717712;0.03267412;0.16568731;-0.096669994;0.040194582;-0.13749205;0.51556873;-0.6108361;0.123173915;-0.06255702;-0.009726334;-0.0047180094;0.051086098;-0.08317133;0.008646613;-0.013676141;0.1393047;.\data\AI_InputData\Measurement_HS_Procesed\FaultSubSys1\GrabbedData_Fault_3z_U_RampUp_4_5Nm_12-14-2020_13-02_Em_1.mat
-2.0490916;-1.0711763;15.587863;29.456493;-2.051623;-1.0664043;15.58758;29.457884;-4.5923233;-1.5394137;5.305118;9.928316;-5.522894;-1.6995816;5.234171;9.885735;0.053818684;0.87989473;0.1869197;0.7627607;-1.7952645;-0.3951039;-0.18702736;1.223411;-0.25567502;-0.044259533;-0.16987145;-0.027701199;0.07508863;0.44658768;-0.3837018;-0.04392585;-0.14671977;0.011320898;-0.12414339;-0.020171983;-0.6218118;0.06892597;-0.3346108;0.35574418;0.006256287;0.06554907;-0.005621918;0.044365715;-0.006606542;0.14772302;-0.051935982;0.04319734;.\data\AI_InputData\Measurement_HS_Procesed\FaultSubSys1\GrabbedData_Fault_3z_U_RampUp_4_5Nm_12-14-2020_13-02_Em_2.mat
-2.1928008;-1.191663;17.313707;31.578962;-2.1943266;-1.1873299;17.314571;31.575321;-4.749815;-1.5753466;5.344054;9.918226;-5.680701;-1.7373339;5.297292;9.875605;0.124334954;0.27324784;-1.137128;-0.15373781;0.061067957;1.8718295;0.36956564;1.1414212;-0.03297164;0.0053758128;0.059240848;0.30590868;-0.5498126;-0.08500478;-0.21487662;-0.04438856;-0.069759354;0.040307943;0.01815259;0.179286;-0.1421528;0.4763916;-0.042305935;0.54302514;-0.026521532;0.018801035;-0.06928927;-0.013617481;-0.10588244;0.006538239;-0.1149838;-0.009653362;.\data\AI_InputData\Measurement_HS_Procesed\FaultSubSys1\GrabbedData_Fault_3z_U_RampUp_5_0Nm_12-14-2020_13-02_Em_0.mat
-2.1928008;-1.191663;17.313707;31.578962;-2.1943266;-1.1873299;17.314571;31.575321;-4.749815;-1.5753466;5.344054;9.918226;-5.680701;-1.7373339;5.297292;9.875605;-1.1061306;-0.19923013;-0.06538155;0.39761576;-0.34559643;0.49264488;-2.1228335;-0.32220727;0.049293373;0.27709812;-0.1417859;-0.026656756;-0.013353888;0.14298485;0.09743509;0.5755446;0.035859708;0.1726228;-0.106009215;0.034404114;-0.16048059;0.45795664;-0.6113962;0.03285469;-0.05898482;-0.012062755;-0.00041056203;0.054429803;-0.06704421;0.0036561154;0.00047814628;0.13205725;.\data\AI_InputData\Measurement_HS_Procesed\FaultSubSys1\GrabbedData_Fault_3z_U_RampUp_5_0Nm_12-14-2020_13-02_Em_1.mat
-2.1928008;-1.191663;17.313707;31.578962;-2.1943266;-1.1873299;17.314571;31.575321;-4.749815;-1.5753466;5.344054;9.918226;-5.680701;-1.7373339;5.297292;9.875605;0.061174396;0.88262916;0.18703245;0.7846867;-1.8832157;-0.417724;-0.2250702;1.1873171;-0.2558646;-0.052222602;-0.17616396;-0.026012858;0.08365591;0.45614073;-0.39281338;-0.0488779;-0.16200458;0.005291007;-0.13558416;-0.014546471;-0.6341451;0.0019089993;-0.30031317;0.34766248;0.009006022;0.068497546;-0.003285873;0.03931254;0.0060895695;0.13365352;-0.059079267;0.032289118;.\data\AI_InputData\Measurement_HS_Procesed\FaultSubSys1\GrabbedData_Fault_3z_U_RampUp_5_0Nm_12-14-2020_13-02_Em_2.mat
